epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,15880.2,1.12362,1.60135,0.61134,1.10598,0.93884,0.93064,0.95697,0.64095,0.93315,0.93248,0.95498,0.63133,1.2119,1.66745,0.55366,1.20823,0.000325526,0.000325526,0.000325526
41,16354.8,1.07859,1.5622,0.55746,1.12179,0.92264,0.93461,0.95299,0.63997,0.93932,0.92046,0.95161,0.62237,1.20514,1.68286,0.55785,1.20689,0.000297232,0.000297232,0.000297232
42,16738.5,1.08019,1.53688,0.54494,1.11388,0.94716,0.90509,0.95788,0.64875,0.95038,0.90539,0.95656,0.6336,1.18168,1.6821,0.5571,1.19937,0.000268938,0.000268938,0.000268938
43,17107.2,1.06723,1.53336,0.55416,1.11378,0.92869,0.92944,0.95497,0.63639,0.93392,0.93013,0.95412,0.62348,1.2121,1.69579,0.5607,1.2167,0.000240644,0.000240644,0.000240644
44,17453.8,1.05882,1.51508,0.53863,1.10632,0.91637,0.93925,0.95787,0.6442,0.93459,0.92391,0.95581,0.63245,1.20279,1.69925,0.55085,1.21572,0.000212349,0.000212349,0.000212349
45,17792.3,1.05247,1.50652,0.53216,1.11121,0.95133,0.90605,0.95553,0.65375,0.9569,0.90696,0.95498,0.63222,1.19518,1.68218,0.54557,1.21637,0.000184055,0.000184055,0.000184055
46,18142.1,1.03138,1.49008,0.52519,1.1006,0.9215,0.92847,0.95397,0.65199,0.93738,0.92175,0.95289,0.63269,1.17602,1.67783,0.53841,1.203,0.000155761,0.000155761,0.000155761
47,18513.4,1.02829,1.49184,0.51702,1.091,0.91818,0.9402,0.95533,0.65363,0.92137,0.94051,0.95529,0.63208,1.17559,1.65623,0.53635,1.19956,0.000127467,0.000127467,0.000127467
48,18893.4,1.02004,1.4826,0.50863,1.08683,0.93569,0.93808,0.95438,0.64744,0.93389,0.93518,0.95182,0.62673,1.179,1.68001,0.5447,1.20186,9.91726e-05,9.91726e-05,9.91726e-05
49,19308.2,1.00353,1.48109,0.50198,1.08708,0.93328,0.93087,0.95395,0.64781,0.9326,0.92785,0.95149,0.63192,1.17589,1.67026,0.53493,1.20263,7.08784e-05,7.08784e-05,7.08784e-05
50,19761.8,1.00511,1.45823,0.49664,1.08438,0.93541,0.93098,0.95377,0.65165,0.93517,0.93027,0.95022,0.63525,1.17719,1.669,0.53175,1.20529,4.25842e-05,4.25842e-05,4.25842e-05
