frame,id,world_x,world_y,speed_kmh,contact_x,contact_y,method,num_visible_wheels
6,6,2.5052378706376808,-31.54769812481096,11.387769750890318,900,272,keypoint,4
7,1,5.904121779032571,2.3871828869507103,5.590263075134999,1189,503,keypoint,3
7,2,-20.74439123489017,213.09043440818175,292841.26445705583,905,365,keypoint,3
7,3,6.7179342727613145,-38.5638320739832,55.11807998645296,840,294,keypoint,4
7,4,-0.9950922112034452,-53.60896078598334,190.5501451379744,965,312,keypoint,4
7,5,3.1236042164722972,-26.98462668145324,1.5632276955553153,869,251,keypoint,4
7,6,2.564560248533303,-31.273341334898465,13.700262775220184,898,271,keypoint,4
8,1,5.822612764042964,2.3222803168176336,6.131271062583388,1187,504,keypoint,3
8,2,-13.36220353672094,141.03234232401255,251938.1084532028,907,369,keypoint,3
8,3,6.869414117680609,-39.510896539389336,59.57538400094313,841,296,keypoint,4
8,4,-0.9306343477353287,-54.64970071014607,176.73527713433194,964,313,keypoint,4
8,5,3.1514121178223835,-27.152530210143482,3.5280755945902635,869,252,keypoint,4
8,6,2.650865438643931,-31.259668902216923,12.866558418387768,896,271,keypoint,4
9,1,5.7645998524898,2.2539406820500885,6.3733419224843,1186,505,keypoint,3
9,2,-10.754106158622948,112.09721324661378,220772.6847684685,907,372,keypoint,3
9,3,7.031037289179452,-40.52137791791416,63.64087060543591,842,298,keypoint,4
9,4,-0.6527914724885006,-54.54387045046098,157.98817066369867,961,313,keypoint,4
9,5,3.1924992328557384,-26.97664926797493,5.118999800998116,867,251,keypoint,4
9,6,2.693961679507595,-31.25284161348398,11.7491174925856,895,271,keypoint,4
10,1,5.752103673474173,2.1781262442500773,6.433566652760324,1187,506,keypoint,3
10,2,-8.324484494234042,91.8587859881687,196446.22389592312,910,375,keypoint,3
10,3,7.325340929076496,-42.162079794297036,73.23854778495628,843,301,keypoint,4
10,4,-0.5430556047367715,-53.44147150494332,151.51240137594922,960,312,keypoint,4
10,5,3.3199872055105755,-27.306906510986618,8.09032133395791,865,253,keypoint,4
10,6,2.780041697953317,-31.239204852404878,11.315194893935178,893,271,keypoint,4
11,1,5.7968803649845135,2.1698367180553833,6.058081547827841,1189,506,keypoint,3
11,2,-6.291650239892681,73.5998591767184,194516.1128150408,913,379,keypoint,3
11,3,7.455194342612694,-43.3799701440162,78.15370573316783,845,303,keypoint,4
11,4,-0.2737396485945927,-53.34168415316347,125.53410040523528,957,312,keypoint,4
11,5,3.350178364526796,-27.480896840957115,9.856224530794732,865,254,keypoint,4
11,6,2.7671315163841723,-31.505509160811997,11.293503963844367,894,272,keypoint,4
12,1,4.562658615862796,1.872570994857005,18.51683401755209,1143,513,keypoint,2
12,2,-4.984321895733979,58.6066294069951,192862.77688075387,914,384,keypoint,3
12,3,7.802490469643706,-45.34456673442935,94.28493724501648,846,306,keypoint,4
12,4,-0.005839421548514314,-53.242421359450496,85.54525090202449,954,312,keypoint,4
12,5,3.345275888725231,-27.662652679524484,11.326816788683757,866,255,keypoint,4
12,6,2.8106460030691474,-31.498499326316203,8.982940284594104,893,272,keypoint,4
13,1,5.703697983190329,1.884448457576133,29.108323302940505,1191,510,keypoint,3
13,2,-3.9634867758818024,49.855862586401415,92862.41733633347,917,388,keypoint,3
13,3,7.949913218780326,-46.04339550289264,97.37429612323255,846,307,keypoint,4
13,4,0.17217069975058164,-52.17143891365889,81.26092699887857,952,311,keypoint,4
13,5,3.309570056644026,-27.667042675421712,11.339179867598762,867,255,keypoint,4
13,6,2.84197945226808,-31.763971461530993,11.656088982556891,893,273,keypoint,4
