frame,id,x,y,width,height,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf
6,4,979.1312255859375,306.248291015625,34.393341064453125,24.079962730407715,331.10257,187.35672,0.6810274,329.28845,185.22624,0.6441587,324.24197,187.13376,0.58869904,321.8457,184.51,0.60275406,319.9361,183.72539,0.04050126,325.3668,188.15813,0.02770827,325.75537,182.83475,0.02644715,326.37753,182.91473,0.027922085,324.53293,183.49455,0.016779259,318.0306,184.83745,0.020225808
6,5,875.2289428710938,246.15958213806152,17.991485595703125,13.738051414489746,294.71075,150.71745,0.6502017,292.90887,148.35211,0.6078951,290.31934,149.3152,0.5911369,289.9222,148.74733,0.59805596,290.2086,147.38306,0.05469558,292.55765,151.46103,0.047202375,294.28357,146.14392,0.040027343,291.6679,145.48315,0.0469985,292.84845,145.74567,0.028387684,284.16003,152.53049,0.03742598
6,6,907.2821044921875,266.5765657424927,23.1990966796875,19.368295669555664,305.2291,162.43874,0.6435402,304.12622,160.03114,0.60411805,300.68994,162.43242,0.6161586,299.44525,160.00803,0.61569077,298.13608,159.98323,0.049254924,301.43448,163.13354,0.03359661,301.92084,157.93336,0.03187158,301.33447,158.29533,0.03573642,299.73575,157.54622,0.023623161,294.67996,160.08757,0.02638926
7,1,1144.8729858398438,466.35083198547363,114.88055419921875,87.5489501953125,364.3276,281.6899,0.85931915,379.19226,301.11108,0.8873617,374.69812,286.59756,0.035455115,396.3934,298.11823,0.32449806,406.55774,281.67178,0.002653187,386.81787,302.50748,0.0018448146,386.49545,301.12164,0.000308802,362.78726,289.4445,0.0012647177,391.29788,286.3801,0.0003506884,360.29993,289.24384,0.00093120115
7,2,882.00732421875,347.8839855194092,43.804595947265625,42.28151035308838,287.25275,210.40926,0.75740737,290.76852,217.87595,0.7696658,295.09607,212.09375,0.24021555,301.87787,216.46774,0.54797643,305.79947,212.2458,0.043279584,296.54355,219.57414,0.041858982,294.75476,215.85272,0.016877037,284.97495,210.32889,0.036443096,293.1537,207.3663,0.020895768,283.39627,214.30054,0.029026791
7,3,831.9358520507812,287.04762268066406,23.568695068359375,22.853528022766113,274.38068,172.73575,0.69114405,275.81396,176.41972,0.70857984,279.0351,172.77866,0.3774572,281.42725,176.01445,0.5886255,283.81772,174.31151,0.048776153,278.2852,178.21486,0.04332223,278.67746,174.74794,0.026866887,272.95398,171.24522,0.041344255,278.32584,168.21786,0.025906999,269.27982,173.83614,0.033059683
7,4,975.4850463867188,305.2354459762573,34.153839111328125,23.55933952331543,329.96262,186.57614,0.6825442,328.28464,184.44283,0.6426437,323.26266,186.52663,0.5843935,320.98788,183.76791,0.60845596,318.92633,182.91716,0.04777356,324.75436,187.16687,0.036504347,325.21524,182.42163,0.034928825,325.22772,182.4022,0.03633932,324.39215,182.52805,0.022784373,318.17557,183.9326,0.026558815
7,5,874.6452026367188,246.33864212036133,17.820465087890625,13.736892700195312,294.58667,150.89027,0.64987904,292.98828,148.55734,0.60653013,290.27954,149.57605,0.58958143,289.9869,148.83871,0.6001464,290.12238,147.38828,0.05458839,292.5563,151.71883,0.04733691,294.39713,146.28677,0.039923165,291.61673,145.67111,0.046497915,292.55383,146.0046,0.028285593,284.18423,152.75189,0.03730356
7,6,905.5786743164062,266.6067180633545,23.28057861328125,19.128905296325684,304.74826,162.33066,0.64981437,303.61542,159.95146,0.6095597,300.24387,162.4105,0.6072356,298.93283,159.91858,0.6160742,297.66403,159.89569,0.050460547,301.11893,163.02808,0.035703126,301.59863,158.05489,0.03347431,300.8418,158.27481,0.038279884,299.83017,157.35616,0.025170691,294.66766,159.88625,0.027597519
8,1,1145.249267578125,467.7693557739258,115.20474243164062,88.01789474487305,364.49603,282.29782,0.8517249,379.29425,302.0533,0.88527703,374.406,287.24915,0.036121145,395.97696,298.8902,0.31991735,406.01138,282.61465,0.002561726,386.46588,303.2196,0.0016677179,386.39334,301.98788,0.00029767083,363.33884,290.3052,0.0011407732,391.46964,287.62207,0.0003193004,359.96237,289.9235,0.00085714407
8,2,884.7705688476562,351.0350704193115,44.689910888671875,43.31938362121582,287.6603,212.4621,0.77313125,291.64502,220.279,0.79473567,295.0625,213.83557,0.2125969,302.34485,218.9664,0.53330106,306.32776,214.25511,0.038975205,297.37354,222.40958,0.03362697,294.5631,218.26382,0.014094835,285.99167,212.64745,0.03077693,293.46857,209.46982,0.017026218,282.97498,216.67378,0.022009961
8,3,833.659423828125,289.53164863586426,24.253326416015625,23.85414218902588,274.85312,174.20763,0.6956642,276.30582,177.97247,0.7221173,279.11703,174.03491,0.371039,281.9049,177.56737,0.5845269,283.95404,175.77295,0.04793665,278.7133,179.89711,0.03851279,278.3444,176.24039,0.025715236,273.77356,172.55833,0.038451776,278.37152,169.89764,0.023699095,269.37637,175.24556,0.02919216
8,4,972.7787475585938,305.4793939590454,33.46234130859375,24.39562225341797,328.7897,187.39615,0.6841961,327.16885,185.19211,0.6482019,322.7026,187.31905,0.5750045,320.4878,184.56285,0.6127864,318.27795,183.73643,0.050867572,324.15158,188.03322,0.03885551,324.35992,183.8667,0.038614124,324.56808,183.28812,0.040829282,324.60242,183.24445,0.02538891,318.2241,184.45422,0.02770206
8,5,874.51904296875,247.05853843688965,17.269866943359375,13.285406112670898,294.49722,151.23538,0.6505149,292.98853,148.75595,0.608075,290.11118,149.94318,0.59318346,289.91367,149.0788,0.60302365,289.85562,147.43666,0.053972438,292.40048,152.06653,0.047081877,294.36826,146.54945,0.03964889,291.5392,146.09207,0.045668438,292.31946,146.34106,0.027749987,284.2174,153.00435,0.036755696
8,6,903.5402526855469,267.1405506134033,23.1441650390625,18.470163345336914,304.05496,162.40997,0.6545542,302.9598,159.96603,0.6154396,299.6628,162.4905,0.59737605,298.32495,159.96637,0.6155892,297.04352,159.98372,0.05197447,300.75653,163.10315,0.037879772,301.26794,158.29192,0.035183866,300.2197,158.36278,0.041574806,299.84616,157.13762,0.026901366,294.6128,159.88716,0.028649744
9,1,1146.3930358886719,468.9386787414551,116.83209228515625,88.40912818908691,364.36,282.29813,0.8384409,379.81033,302.5819,0.8831642,373.41724,287.10733,0.035621397,395.49277,299.55035,0.31434277,404.84064,283.14932,0.0025764853,386.12045,303.55063,0.0016712156,386.38687,302.08875,0.0003247868,363.70157,290.72092,0.0010985316,390.9926,288.3638,0.00031695986,359.81754,290.31107,0.0008842751
9,2,886.9376220703125,353.49981021881104,45.685089111328125,43.91831016540527,288.14624,213.7947,0.7790215,292.20392,221.86975,0.80927354,294.84665,214.74521,0.19442174,302.4864,220.72502,0.5204618,306.2104,215.7664,0.035490755,297.59845,224.24161,0.028517958,294.36182,219.72124,0.012437437,286.8454,214.07562,0.02652795,293.7539,211.01418,0.0143447,282.6453,218.2047,0.018077662
9,3,835.6229553222656,291.781099319458,24.2325439453125,24.32504367828369,275.137,175.47627,0.7003395,276.83954,179.49336,0.728581,279.24307,175.39236,0.35666522,282.64966,178.9786,0.5709824,284.73358,176.84042,0.047102634,279.3222,181.5381,0.033877183,278.1471,177.73953,0.023402551,274.44238,173.92535,0.03492987,278.30072,171.55646,0.021625808,269.14108,176.50012,0.025645275
9,4,970.739501953125,304.91726303100586,33.2852783203125,25.3357515335083,328.18213,187.30196,0.68732256,326.30487,184.99786,0.64606833,321.95758,187.32118,0.5751043,319.48312,184.22229,0.612576,317.38724,183.33774,0.052844606,323.6041,187.72539,0.04196892,323.86887,184.03062,0.041399542,323.71646,183.21994,0.04453141,324.74426,183.01794,0.02741702,317.88226,183.90509,0.029698282
9,5,873.9405212402344,247.08019351959229,17.5338134765625,13.81032943725586,293.94797,151.01822,0.65165365,292.6531,148.40852,0.60701644,289.39288,149.85886,0.5884689,289.08255,148.9171,0.60806686,288.93622,147.14764,0.056840006,292.0419,151.91772,0.052207716,294.19922,146.29451,0.044721507,291.08777,145.98964,0.05068362,292.17993,145.98518,0.031510357,284.38547,152.8684,0.04036614
9,6,902.7914428710938,267.0321464538574,23.621429443359375,18.426518440246582,304.24933,162.29558,0.65797585,302.9902,159.86673,0.61613923,299.41016,162.40445,0.5971903,297.9786,159.78021,0.61561626,296.7169,159.76994,0.05262094,300.76764,162.80243,0.038689367,301.0986,158.15103,0.036565587,300.09332,158.1635,0.04257116,299.90494,157.17601,0.027577117,294.62006,159.46033,0.029403629
10,1,1146.810791015625,470.0569667816162,117.506103515625,88.7623815536499,364.52844,282.95914,0.8469253,379.7331,303.0486,0.8853673,374.10214,287.97617,0.03522988,395.89987,299.914,0.31193358,405.98193,283.4766,0.0024121075,386.58038,304.09854,0.0014394554,386.4349,302.89395,0.00027861155,363.87524,291.22214,0.0010097297,391.72592,288.73892,0.0002836066,359.74078,290.71634,0.00075264246
10,2,888.4775390625,357.1263542175293,46.133697509765625,44.02416515350342,290.2199,216.04935,0.71510935,293.18643,224.05682,0.7411893,296.85876,217.63791,0.2626987,303.57382,222.54088,0.537458,306.314,219.52448,0.04254371,297.31485,224.96358,0.041900538,296.4235,220.20358,0.017279224,287.89362,215.64131,0.032827668,292.20782,214.30681,0.02002086,284.62814,221.15161,0.031568486
10,3,836.3219604492188,294.50922775268555,24.070220947265625,24.203481674194336,275.1422,176.97409,0.70378745,276.88022,181.08339,0.73432004,279.4493,176.82602,0.33688444,282.91064,180.5441,0.55654734,285.22766,178.18295,0.043567754,279.5726,183.39003,0.028163902,277.86935,179.37799,0.01937438,274.68304,175.24098,0.031199206,278.44318,173.13188,0.018352166,268.55283,177.74525,0.020753486
10,4,968.5880126953125,305.06689167022705,33.8994140625,25.296689987182617,327.4103,187.26755,0.68870497,325.38577,185.01492,0.6462108,321.35156,187.23468,0.5702804,318.6807,184.1462,0.6119016,316.78,183.28976,0.0535713,322.97104,187.56143,0.043833137,323.34262,184.40004,0.043238644,322.9148,183.26062,0.047140293,325.04977,182.87784,0.028589956,317.5726,183.45766,0.03102909
10,5,872.35986328125,247.77915573120117,17.777435302734375,14.343518257141113,293.3011,151.58963,0.64965504,292.42963,148.79312,0.6097519,288.73724,150.54599,0.58518565,288.3138,149.36015,0.61304355,287.64276,147.45035,0.058619898,291.66193,152.573,0.055119287,294.04007,146.82281,0.047795147,290.73727,146.64,0.054108858,291.7008,146.33553,0.033404086,284.49915,153.38013,0.041277666
10,6,901.0543212890625,267.17155265808105,23.733123779296875,18.10377788543701,303.82874,162.17009,0.66344243,302.53247,159.84381,0.61968374,298.79428,162.32863,0.58782536,297.32333,159.66446,0.6166,295.98764,159.60704,0.05424234,300.42786,162.64629,0.041868255,300.81235,158.1587,0.038990967,299.45663,158.08104,0.045763925,299.78912,157.11824,0.029570093,294.38693,159.33282,0.031219095
11,1,1148.7523498535156,470.50953483581543,118.64886474609375,88.7514123916626,364.9473,283.13565,0.85274875,380.14328,303.4165,0.89011043,374.53156,288.1656,0.03304197,396.38364,300.31213,0.30765304,406.77115,283.6829,0.002441256,387.3584,304.47607,0.0013875146,386.50854,303.08304,0.00027402613,364.25906,291.2792,0.0010089633,391.9705,288.8378,0.00028186766,359.79712,290.89954,0.0007238518
11,2,890.8918762207031,360.4057731628418,47.81927490234375,45.567830085754395,289.97195,218.49849,0.7376997,293.50406,226.71262,0.7686403,296.74466,219.7115,0.23233579,304.41412,225.02411,0.5300471,307.6376,221.85817,0.039939784,298.50604,228.0372,0.034695294,296.1684,222.75258,0.014272633,287.5284,217.82018,0.029926535,292.07248,216.02809,0.017247805,283.75473,223.2736,0.024354363
11,3,837.9170837402344,296.5446252822876,24.89007568359375,24.84674835205078,275.7195,178.29163,0.70534265,277.65628,182.67575,0.73953927,279.81323,177.98538,0.30713198,283.78836,182.04643,0.5325463,285.973,179.36288,0.040364757,280.33264,185.23743,0.02376589,277.86478,180.45216,0.015916964,275.25528,176.20749,0.027702246,277.9703,174.70901,0.01554499,267.94113,179.03769,0.016940814
11,4,966.4793701171875,304.34784507751465,33.5093994140625,25.13583469390869,326.45258,186.61775,0.68589747,324.48712,184.5884,0.6443953,320.34177,186.80627,0.56199044,317.73495,183.81255,0.61393476,315.79697,182.71426,0.055349533,322.15643,187.00677,0.04980636,322.9407,184.01804,0.047938928,321.88138,182.94968,0.05172248,324.79312,182.3314,0.031562865,317.27573,182.96414,0.03507043
11,5,871.6477661132812,248.78726291656494,17.856536865234375,14.739412307739258,293.32498,152.36322,0.64477915,292.36978,149.65268,0.61412144,288.84436,151.34785,0.58675414,288.3521,150.17221,0.61322397,287.27655,148.81128,0.05811853,291.4087,153.2764,0.052918445,293.822,147.60388,0.04604802,290.5624,147.55843,0.05373619,291.50485,146.8324,0.032667503,284.65057,153.52592,0.038969312
11,6,900.7974243164062,267.67149925231934,23.166046142578125,17.49177074432373,303.89102,162.68396,0.6627523,302.55078,160.46077,0.62479156,299.13846,162.98207,0.58487314,297.56284,160.34593,0.61378914,296.41983,160.23004,0.05143184,300.49353,163.38911,0.037626375,300.80304,158.81898,0.034910757,299.95554,158.72888,0.041739177,299.88815,157.86984,0.02619709,294.28433,160.31801,0.027805548
12,1,1149.02490234375,471.48723220825195,118.09295654296875,88.90348720550537,365.638,284.47876,0.89824206,381.0403,304.28766,0.9250134,374.55154,289.34106,0.021872517,397.41776,301.57098,0.28383476,408.01883,284.68948,0.004729617,392.18332,306.66373,0.0016569432,381.5498,300.69156,0.00038004934,363.8578,289.01028,0.0018898527,382.36395,287.2726,0.0005291861,356.4381,293.07065,0.0007766704
12,2,893.1179809570312,363.7476854324341,48.5654296875,47.0778923034668,290.51517,220.93373,0.75631386,294.08542,229.61845,0.7937269,296.61392,221.81812,0.1985741,304.81577,227.7852,0.50827473,308.06802,224.25882,0.036860425,299.26138,231.29443,0.02783928,295.7441,225.52573,0.011689682,288.36807,220.26524,0.025504978,292.3453,218.62732,0.014194989,282.92957,225.76785,0.018259073
