frame,id,x,y,width,real_width,kp0_x,kp0_y,kp0_conf,kp1_x,kp1_y,kp1_conf,kp2_x,kp2_y,kp2_conf,kp3_x,kp3_y,kp3_conf,kp4_x,kp4_y,kp4_conf,kp5_x,kp5_y,kp5_conf,kp6_x,kp6_y,kp6_conf,kp7_x,kp7_y,kp7_conf,kp8_x,kp8_y,kp8_conf,kp9_x,kp9_y,kp9_conf
6,4,979.1312255859375,306.248291015625,34.393341064453125,4.146761753754804,993.30774,316.16446,0.6810274,987.86536,312.56927,0.6441587,972.72595,315.7882,0.58869904,965.5371,311.36063,0.60275406,959.8083,310.0366,0.04050126,976.10034,317.51685,0.02770827,977.2661,308.53363,0.02644715,979.13257,308.6686,0.027922085,973.59875,309.64706,0.016779259,954.0918,311.9132,0.020225808
6,5,875.2289428710938,246.15958213806152,17.991485595703125,0.6391608090713936,884.13226,254.33571,0.6502017,878.7266,250.3442,0.6078951,870.958,251.9694,0.5911369,869.7666,251.01112,0.59805596,870.62573,248.70891,0.05469558,877.673,255.59048,0.047202375,882.8507,246.61786,0.040027343,875.0037,245.50282,0.0469985,878.54535,245.94582,0.028387684,852.4801,257.3952,0.03742598
6,6,907.2821044921875,266.5765657424927,23.1990966796875,1.0910684366782963,915.68726,274.11536,0.6435402,912.37866,270.05255,0.60411805,902.0698,274.1047,0.6161586,898.33575,270.01355,0.61569077,894.4082,269.9717,0.049254924,904.30347,275.28784,0.03359661,905.7625,266.51254,0.03187158,904.0034,267.12338,0.03573642,899.2073,265.85925,0.023623161,884.0399,270.14777,0.02638926
7,1,1144.8729858398438,466.35083198547363,114.88055419921875,2.603556262350577,1092.9828,475.3517,0.85931915,1137.5768,508.12494,0.8873617,1124.0944,483.6334,0.035455115,1189.1802,503.0745,0.32449806,1219.6732,475.32114,0.002653187,1160.4536,510.48135,0.0018448146,1159.4863,508.14276,0.000308802,1088.3618,488.43756,0.0012647177,1173.8937,483.26642,0.0003506884,1080.8998,488.09897,0.00093120115
7,2,882.00732421875,347.8839855194092,43.804595947265625,29.558389052225614,861.75824,355.0656,0.75740737,872.30554,367.66565,0.7696658,885.2882,357.9082,0.24021555,905.6336,365.2893,0.54797643,917.39844,358.1648,0.043279584,889.6306,370.53137,0.041858982,884.2643,364.25146,0.016877037,854.9248,354.93,0.036443096,879.46106,349.93063,0.020895768,850.18884,361.63214,0.029026791
7,3,831.9358520507812,287.04762268066406,23.568695068359375,1.410453739083753,823.142,291.49158,0.69114405,827.4419,297.70828,0.70857984,837.1053,291.564,0.3774572,844.28174,297.02438,0.5886255,851.4531,294.15067,0.048776153,834.8556,300.73758,0.04332223,836.03235,294.88715,0.026866887,818.86194,288.97632,0.041344255,834.97754,283.86765,0.025906999,807.8395,293.34848,0.033059683
7,4,975.4850463867188,305.2354459762573,34.153839111328125,3.9170881450260935,989.8878,314.84723,0.6825442,984.8539,311.24725,0.6426437,969.78796,314.76367,0.5843935,962.9636,310.10837,0.60845596,956.779,308.6727,0.04777356,974.26306,315.8441,0.036504347,975.64575,307.8365,0.034928825,975.68317,307.8037,0.03633932,973.17645,308.01608,0.022784373,954.52673,310.38626,0.026558815
7,5,874.6452026367188,246.33864212036133,17.820465087890625,0.6338957184207371,883.76,254.62733,0.64987904,878.96484,250.69052,0.60653013,870.8386,252.40958,0.58958143,869.9607,251.16533,0.6001464,870.3671,248.71771,0.05458839,877.66895,256.0255,0.04733691,883.1914,246.85893,0.039923165,874.8502,245.82,0.046497915,877.6615,246.38275,0.028285593,852.55273,257.76883,0.03730356
7,6,905.5786743164062,266.6067180633545,23.28057861328125,1.091921695771636,914.24475,273.93298,0.64981437,910.84625,269.9181,0.6095597,900.73157,274.06772,0.6072356,896.79846,269.8626,0.6160742,892.99207,269.82397,0.050460547,903.3568,275.10986,0.035703126,904.7959,266.71762,0.03347431,902.5254,267.08875,0.038279884,899.4905,265.5385,0.025170691,884.003,269.80804,0.027597519
8,1,1145.249267578125,467.7693557739258,115.20474243164062,2.584816127375989,1093.488,476.37756,0.8517249,1137.8828,509.71497,0.88527703,1123.218,484.73294,0.036121145,1187.9309,504.3772,0.31991735,1218.0342,476.91223,0.002561726,1159.3977,511.68307,0.0016677179,1159.18,509.60455,0.00029767083,1090.0165,489.89005,0.0011407732,1174.4089,485.36224,0.0003193004,1079.8871,489.24588,0.00085714407
8,2,884.7705688476562,351.0350704193115,44.689910888671875,18.973629210308104,862.98096,358.5298,0.77313125,874.93506,371.72083,0.79473567,885.1875,360.84753,0.2125969,907.03455,369.5058,0.53330106,918.9833,361.5555,0.038975205,892.1206,375.31616,0.03362697,883.68933,368.3202,0.014094835,857.975,358.84256,0.03077693,880.4057,353.48032,0.017026218,848.9249,365.637,0.022009961
